,mostRelevantField,mostRelevantUni,highestDegree
804,Other,MIT,PhD
805,Other,Other,Masters
806,Other,Other,Bachelors
807,Other,Other,Bachelors
808,AI,MIT,Masters
809,Chemistry,MIT,Masters
810,CS,NYU,Bachelors
811,CS,Northeastern,Masters
812,Other,Other,Masters
813,Other,Other,Masters
814,Other,Northeastern,Masters
815,Electrical Eng,Other,Bachelors
816,Other,Other,Masters
817,Other,Northeastern,Masters
818,Other,BU,Bachelors
819,Other,Northeastern,Masters
820,Other,Other,Masters
821,Business,Other,Other
822,Biology,Other,Postdoc
823,Biology,Other,Bachelors
824,Other,Other,Bachelors
825,Policital Sci,MIT,PhD
826,CS,NYU,Bachelors
827,Other,Other,Bachelors
828,Other,Other,PhD
829,Other,WPI,Masters
830,Biology,Other,Postdoc
831,Other,Other,Masters
832,Biology,Other,Bachelors
833,Business,NYU,Masters
834,AI,NYU,Bachelors
835,Data Science,MIT,Masters
836,Data Science,MIT,Masters
837,CS,UMass Amherst,Bachelors
838,CS,MIT,PhD
839,Mechanical Eng,MIT,Bachelors
840,Business,MIT,Masters
841,Other,Northeastern,Masters
842,Other,MIT,Masters
843,AI,MIT,Postdoc
844,Mechanical Eng,MIT,PhD
845,Biology,Other,PhD
846,CS,MIT,PhD
847,Chemistry,Other,Bachelors
848,CS,Northeastern,Masters
849,Biology,Other,PhD
850,Other,Other,Masters
851,Business,Other,Masters
852,Mechanical Eng,Other,Masters
853,Electrical Eng,UMass Boston,Bachelors
854,Mechanical Eng,WPI,Bachelors
855,AI,Northeastern,Bachelors
856,CS,Other,PhD
857,Physics,Other,Bachelors
858,Other,Other,Bachelors
859,Other,MIT,Bachelors
860,Other,Other,Bachelors
861,Biology,MIT,Bachelors
862,CS,Other,Bachelors
863,Chemistry,MIT,PhD
864,Chemistry,MIT,PhD
865,Chemistry,MIT,PhD
866,Physics,MIT,Postdoc
867,Physics,MIT,Bachelors
868,Other,MIT,PhD
869,Biology,Other,Postdoc
870,Other,Other,Bachelors
871,CS,Other,Masters
872,Data Science,Other,Masters
873,Business,Other,Bachelors
874,Other,Other,Bachelors
875,Mechanical Eng,MIT,PhD
876,Business,MIT,MBA
877,Physics,Northeastern,PhD
